time,Temp
2019-07-09 21:38:18.827964,230.505
2019-07-09 21:39:22.005448,230.505
2019-07-09 21:40:25.188985,230.64
2019-07-09 21:41:28.389966,230.79
2019-07-09 21:42:31.564718,230.79
2019-07-09 21:43:34.728435,231.09
2019-07-09 21:44:37.924398,231.09
2019-07-09 21:45:41.118269,231.225
2019-07-09 21:46:44.330788,231.375
2019-07-09 21:47:47.516287,231.375
2019-07-09 21:48:50.681832,231.525
2019-07-09 21:49:53.859316,231.525
2019-07-09 21:50:57.068247,231.675
2019-07-09 21:52:00.253836,231.825
2019-07-09 21:53:03.463146,231.96
2019-07-09 21:54:06.671081,231.96
2019-07-09 21:55:09.875496,232.11
2019-07-09 21:56:13.064494,232.26
2019-07-09 21:57:16.257426,232.26
2019-07-09 21:58:19.458549,232.41
2019-07-09 21:59:22.640754,232.54500000000002
2019-07-09 22:00:25.852678,232.54500000000002
2019-07-09 22:01:29.144413,232.695
2019-07-09 22:02:32.444075,232.845
2019-07-09 22:03:35.739181,232.995
2019-07-09 22:04:39.023258,233.145
2019-07-09 22:05:42.304483,233.145
2019-07-09 22:06:45.576264,233.28
2019-07-09 22:07:48.869178,233.43
2019-07-09 22:08:52.141454,233.43
2019-07-09 22:09:55.430904,233.58
2019-07-09 22:10:58.739575,233.73000000000002
2019-07-09 22:12:02.008314,233.73000000000002
2019-07-09 22:13:05.314948,233.865
2019-07-09 22:14:08.650971,233.865
2019-07-09 22:15:11.951892,234.01500000000001
2019-07-09 22:16:15.279412,234.16500000000002
2019-07-09 22:17:18.566111,234.315
2019-07-09 22:18:21.874144,234.315
2019-07-09 22:19:25.193786,234.45
2019-07-09 22:20:28.507471,234.6
2019-07-09 22:21:31.832466,234.6
2019-07-09 22:22:35.154230,234.75
2019-07-09 22:23:38.466363,234.89999999999998
2019-07-09 22:24:41.782356,234.89999999999998
2019-07-09 22:25:45.072819,235.04999999999998
2019-07-09 22:26:48.401282,235.04999999999998
2019-07-09 22:27:51.728170,235.33499999999998
2019-07-09 22:28:55.021880,235.33499999999998
2019-07-09 22:29:58.327368,235.33499999999998
2019-07-09 22:31:01.661963,235.48499999999999
2019-07-09 22:32:04.983597,235.635
2019-07-09 22:33:08.301719,235.635
2019-07-09 22:34:11.590672,235.76999999999998
2019-07-09 22:35:14.907315,235.92
2019-07-09 22:36:18.219071,235.92
2019-07-09 22:37:21.519735,236.22
2019-07-09 22:38:24.827436,236.22
2019-07-09 22:39:28.128149,236.37
2019-07-09 22:40:31.420994,236.505
2019-07-09 22:41:34.716429,236.505
2019-07-09 22:42:38.032541,236.505
2019-07-09 22:43:41.329424,236.655
2019-07-09 22:44:44.630195,236.805
2019-07-09 22:45:47.923595,236.95499999999998
2019-07-09 22:46:51.207398,236.95499999999998
2019-07-09 22:47:54.503096,237.09
2019-07-09 22:48:57.825887,237.24
2019-07-09 22:50:01.130272,237.24
2019-07-09 22:51:04.420512,237.39
2019-07-09 22:52:07.743194,237.39
2019-07-09 22:53:11.056821,237.54
2019-07-09 22:54:14.381484,237.69
2019-07-09 22:55:17.685542,237.825
2019-07-09 22:56:21.010958,237.825
2019-07-09 22:57:24.309248,237.975
2019-07-09 22:58:27.616680,237.975
2019-07-09 22:59:30.916103,238.125
2019-07-09 23:00:34.240937,238.275
2019-07-09 23:01:37.658038,238.275
2019-07-09 23:02:41.051021,238.41
2019-07-09 23:03:44.447416,238.56
2019-07-09 23:04:47.853848,238.71
2019-07-09 23:05:51.260374,238.71
2019-07-09 23:06:54.681676,238.71
2019-07-09 23:07:58.116525,238.86
2019-07-09 23:09:01.549524,239.01
2019-07-09 23:10:04.977111,239.145
2019-07-09 23:11:08.387908,239.145
2019-07-09 23:12:11.786662,239.29500000000002
